school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Tamalpais High,Tamalpais Union High,2014-15,1321,Natural Disasters & Weather,Pineapple Express,Pineapple Express - severe weather,"December 11, 2014",2014,1,21654822133692,Marin
Tamiscal High (Alternative),Tamalpais Union High,2014-15,123,Natural Disasters & Weather,Pineapple Express,Pineapple Express - severe weather,"December 11, 2014",2014,1,21654822130078,Marin
Academy of Arts and Sciences,San Francisco Unified,2014-15,325,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,,
Adelante Spanish Immersion,Redwood City Elementary,2014-15,515,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,41690056114037,San Mateo
Alameda High,Alameda Unified,2014-15,1746,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611190130229,Alameda
Alameda Science and Technology Institute,Alameda Unified,2014-15,170,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611190106401,Alameda
Alamo Elementary,San Francisco Unified,2014-15,538,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040695,San Francisco
Albany High,Albany City Unified,2014-15,1195,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611270130450,Alameda
Albany Middle,Albany City Unified,2014-15,868,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611276090161,Alameda
Albany Park Elementary,Delano Union Elementary,2014-15,466,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 12, 2014",2014,1,15634046009344,Kern
Albion Elementary,Mendocino Unified,2014-15,20,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,23655816116149,Mendocino
Almond Tree Middle,Delano Union Elementary,2014-15,745,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 12, 2014",2014,1,15634046115471,Kern
Alvarado Elementary,San Francisco Unified,2014-15,528,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040703,San Francisco
Alvarado Elementary,New Haven Unified,2014-15,901,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1612426001572,Alameda
Alvarado Middle,New Haven Unified,2014-15,1437,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,,
Amelia Earhart Elementary,Alameda Unified,2014-15,622,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611196100374,Alameda
Anderson Valley Elementary,Anderson Valley Unified,2014-15,269,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,23655406025084,Mendocino
Anderson Valley Junior-Senior High,Anderson Valley Unified,2014-15,258,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,23655402330900,Mendocino
Antelope Community Day,Antelope Elementary,2014-15,5,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52714726114383,Tehama
Antelope Elementary,Antelope Elementary,2014-15,405,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52714726053466,Tehama
Anthony W. Ochoa Middle,Hayward Unified,2014-15,596,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926056956,Alameda
Aptos Middle,San Francisco Unified,2014-15,1071,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786062020,San Francisco
Arena Elementary,Arena Union Elementary,2014-15,261,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,23655576025092,Mendocino
Argonne Elementary,San Francisco Unified,2014-15,447,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040737,San Francisco
Arroyo High,San Lorenzo Unified,2014-15,1784,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1613090130849,Alameda
Asawa (Ruth) San Francisco of the Arts,San Francisco Unified,2014-15,624,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,,
Balboa High,San Francisco Unified,2014-15,1257,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684783830288,San Francisco
Bangor Elementary,Bangor Union Elementary,2014-15,114,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,4613826002919,Butte
Bay Elementary,San Lorenzo Unified,2014-15,546,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1613096002505,Alameda
Bay Farm,Alameda Unified,2014-15,572,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611196110779,Alameda
Bayview Elementary,West Contra Costa Unified,2014-15,679,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,7617966004600,Contra Costa
Bend Elementary,Evergreen Union,2014-15,66,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52715226053474,Tehama
Berkeley Arts Magnet at Whittier,Berkeley Unified,2014-15,445,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611436097729,Alameda
Berkeley High,Berkeley Unified,2014-15,3182,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611430131177,Alameda
Berkeley Technology Academy,Berkeley Unified,2014-15,85,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611430134924,Alameda
Berrendos Middle,Antelope Elementary,2014-15,241,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52714726066328,Tehama
Bidwell Point High (Continuation),Stony Creek Joint Unified,2014-15,3,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,11626531130046,Glenn
Bird Street Elementary,Oroville City Elementary,2014-15,182,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,4615076003214,Butte
Bodega Bay Elementary,Shoreline Unified,2014-15,26,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11-12, 2014",2014,2,21733616051627,Marin
Bohannon Middle,San Lorenzo Unified,2014-15,842,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1613096002513,Alameda
Boulder Creek Elementary,San Lorenzo Valley Unified,2014-15,531,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,44698076049837,Santa Cruz
Bowman Elementary,Hayward Unified,2014-15,455,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926000889,Alameda
Brenkwitz High,Hayward Unified,2014-15,185,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611920133009,Alameda
Bret Harte Middle,Hayward Unified,2014-15,636,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926056931,Alameda
Bryant Elementary,San Francisco Unified,2014-15,239,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040778,San Francisco
Buena Vista/ Horace Mann K-8,San Francisco Unified,2014-15,557,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786062046,San Francisco
Burbank Elementary,Hayward Unified,2014-15,794,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926000905,Alameda
Burton (Phillip and Sala) Academic High,San Francisco Unified,2014-15,1046,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684783830254,San Francisco
Cabrillo Elementary,Pacifica,2014-15,554,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,41689326043939,San Mateo
Calistoga Elementary,Calistoga Joint Unified,2014-15,485,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11-12, 2014",2014,2,28662416026744,Napa
Calistoga Junior-Senior High,Calistoga Joint Unified,2014-15,341,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11-12, 2014",2014,2,28662412831758,Napa
Capay Joint Union Elementary,Capay Joint Union Elementary,2014-15,201,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,11625546007439,Glenn
Carmichael (Bessie)/FEC,San Francisco Unified,2014-15,636,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040752,San Francisco
Carpe Diem High (Continuation),Petaluma Joint Union High,2014-15,22,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11-12, 2014",2014,2,49708624930103,Sonoma
Carver (George Washington) Elementary,San Francisco Unified,2014-15,239,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786093496,San Francisco
Casa Grande High,Petaluma Joint Union High,2014-15,1721,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11-12, 2014",2014,2,49708624930012,Sonoma
Centennial Continuation High,Corning Union High,2014-15,51,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52715065231675,Tehama
Central Middle,Oroville City Elementary,2014-15,282,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,4615076003230,Butte
Cesar Chavez Middle,Hayward Unified,2014-15,547,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926056949,Alameda
Cesar Chavez Middle,New Haven Unified,2014-15,1283,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1612426097679,Alameda
Cesar E. Chavez Elementary,West Contra Costa Unified,2014-15,615,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,7617966114094,Contra Costa
Chavez (Cesar) Elementary,San Francisco Unified,2014-15,439,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786041149,San Francisco
Cherryland Elementary,Hayward Unified,2014-15,783,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611926000913,Alameda
Chico Country Day,Chico Unified,2014-15,565,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,4614246113773,Butte
Chin (John Yehall) Elementary,San Francisco Unified,2014-15,273,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786113252,San Francisco
Chinese Education Center,San Francisco Unified,2014-15,71,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,,
Chinese Immersion School at DeAvila,San Francisco Unified,2014-15,397,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684780120386,San Francisco
Clarendon Alternative Elementary,San Francisco Unified,2014-15,569,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040828,San Francisco
Cleveland Elementary,San Francisco Unified,2014-15,353,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040836,San Francisco
Clifford Elementary,Redwood City Elementary,2014-15,727,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,41690056044424,San Mateo
Clover Valley High (Continuation),Upper Lake Union High,2014-15,20,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,,
Cobb (William L.) Elementary,San Francisco Unified,2014-15,148,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm,"All Schools closed Decmeber 11, 2014. Material decrease December 12, 2014.",2014,1,38684786040968,San Francisco
Coffee Creek Elementary,Coffee Creek Elementary,2014-15,12,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,53716706053706,Trinity
Collins Elementary,West Contra Costa Unified,2014-15,385,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,7617966004659,Contra Costa
Colonial Acres Elementary,San Lorenzo Unified,2014-15,688,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1613096002521,Alameda
Columbia Academy,Corning Union Elementary,2014-15,4,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52714986114466,Tehama
Comptche Elementary,Mendocino Unified,2014-15,17,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,23655816025142,Mendocino
Core Learning Academy at Conley-Caraballo High,New Haven Unified,2014-15,150,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,1612420110460,Alameda
Cornell Elementary,Albany City Unified,2014-15,570,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014",2014,1,1611276090146,Alameda
Corning High,Corning Union High,2014-15,901,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52715065231709,Tehama
Corning-Center Alternative Learning,Corning Union High,2014-15,7,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014",2014,1,52715065230057,Tehama
